City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,5.74,66,8,2.55,US,1713749128
1,puerto natales,-51.7236,-72.4875,2.15,92,86,2.21,CL,1713749120
2,port-aux-francais,-49.35,70.2167,5.08,72,15,12.35,TF,1713748932
3,rikaze,29.25,88.8833,9.57,17,22,1.69,CN,1713749409
4,carnarvon,-24.8667,113.6333,24.94,39,0,7.43,AU,1713749146
5,westport,41.1415,-73.3579,9.3,51,0,1.54,US,1713749409
6,funadhoo,6.15,73.2667,29.65,75,64,4.72,MV,1713749410
7,ust'-kalmanka,52.1207,83.305,13.59,57,100,5.34,RU,1713749410
8,moose jaw,50.4001,-105.5344,15.14,20,100,9.26,CA,1713749410
9,bethel,41.3712,-73.414,8.3,52,0,2.06,US,1713749107
10,utrik,11.2278,169.8474,27.23,75,93,8.62,MH,1713749136
11,likasi,-10.9814,26.7333,15.38,96,2,1.58,CD,1713749410
12,adamstown,-25.066,-130.1015,22.37,70,32,10.03,PN,1713749090
13,prince rupert,54.3161,-130.3201,7.83,94,100,9.77,CA,1713749410
14,znomenka,48.7128,32.6647,5.83,79,100,6.78,UA,1713749410
15,tura,25.5198,90.2201,26.43,78,86,3.21,IN,1713749143
16,guerrero negro,27.9769,-114.0611,17.22,75,0,7.53,MX,1713748949
17,waitangi,-43.9535,-176.5597,14.34,81,0,4.02,NZ,1713748999
18,langzhong,31.5504,105.9938,19.08,80,100,1.08,CN,1713749412
19,la'ie,21.6477,-157.9253,27.98,74,26,3.13,US,1713749215
20,port moresby,-9.4431,147.1797,31.68,70,40,2.57,PG,1713749089
21,kingston,17.997,-76.7936,28.53,70,20,6.69,JM,1713748740
22,iwanai,42.9744,140.5089,11.1,65,4,2.49,JP,1713749333
23,wuhai,39.6647,106.8122,16.32,11,60,11.07,CN,1713749413
24,fada,9.5667,8.3,22.14,86,100,1.16,NG,1713749413
25,college,64.8569,-147.8028,15.18,28,20,4.63,US,1713748854
26,tolanaro,-25.0319,46.9987,19.93,88,0,1.5,MG,1713749165
27,grytviken,-54.2811,-36.5092,3.27,82,100,3.38,GS,1713749097
28,iqaluit,63.7506,-68.5145,-17.15,77,20,3.09,CA,1713749132
29,saipan,15.1355,145.701,32.39,58,40,8.23,MP,1713749417
30,sao joao da barra,-21.6403,-41.0511,23.21,73,0,2.06,BR,1713749418
31,dunedin,-45.8742,170.5036,12.11,65,33,5.36,NZ,1713749182
32,datca,36.7378,27.6842,16.53,77,93,4.68,TR,1713749420
33,yellowknife,62.456,-114.3525,12.29,37,20,2.57,CA,1713749420
34,weno,7.4515,151.8468,30.97,79,75,3.6,FM,1713749421
